Author,year
x3C Text Layer x3E  xA0 691,Missing
x3C Text Layer x3E  xA0 741,Missing
x31 927 Not in pursuit of an architectural idea x2C  but simply guided1,Missing
Friedman -,1960
Freyssinet -,1925
Frampton -,1985
FOSTER -,1971
FOSTER -,1998
FOA -,2002
Fisher -,1996
Fischer -,1909
Finsterlin -,1924
Ferris -,1926
Fathy -,1979
Ferrell -,1990
Evans -,1999
Erskine -,1971
Erskine -,1956
Erith -,1948
Endell -,1899
EISENMAN -,1987
EISENMAN -,1970
Eierman -,1961
Eames -195,1957
EAMES -,1956
E.WAKIL - 1985  x2A  x2A  x2A,1985
Duiker -,1929
Dudok -,1922
Doxiadis -,1962
Dominioni -,1959
Domenig -199,1990
Dolce Vita -,1968
Domenech -,1898
Dixon-Jones -,1998
Derrida -,1988
De Klerk -,1921
De Klerk -191,1914
de Finetti -,1939
De Carlo -,1965
de Baudot -,1902
Darmstadt Mathildenhohe - 1907  x2A  x2A  x2A,1907
Czech Cubists -191,1911
Cumbernauld -196,1965
Cret -192,1928
Costa -,1954
Correa -,1989
Coates -,1997
Clubs -,1996
Ciriani -,1999
Chiattone -191,1915
Chareau -,1930
Calatrava -,1980
Byker -,1977
BURNHAM -189,1898
Burnet -,1902
Brydon -,1910
BROOKES -,2002
Breuer -,1953
Bournville -,1902
Botta -,1988
Bonatz -,1910
Bolles-Wilson -,1997
Böhm -,1968
Bohm -,1929
Bofill -,1982
Bloomfield -,1910
Bicknell -,1991
Berlage -,1898
Berg -,1918
Benson -,1998
Belluschi -,1958
Belcher -,1899
Bel Geddes -,1937
BEHRENS -,1907
Behnisch -,1995
Behnisch -,1982
Beeby -,1985
Bartning -,1925
Banham -,1978
Balmond -,1997
Baker -,1913
Bakema -,1955
Badran -,1989
Bacon -,1916
Aulenti -,1960
Asplund -,1913
Ashbee -,1908
Arups -,1975
Arups -,1960
Arquitectonica -,1987
Arquitectonica -,1980
ARM -,1992
ARAU -,1976
Arad -,1999
Andreau -,1997
ANDO -,1984
Alsop -,1996
Alexander -,1980
Albini -,1959
Alberts -,1980
Adams -,1993
AALTO -,1960
AALTO -,1932
AALTO -,1926
