Item No,Last Name,First Name,VIAF,Wikipedia Entry,Born,Died,Works in HTRC?,Biological,Pos.(s) in Chronogram,Getty A&A,Unnamed: 11,Item Type
55,Correa,Charles,,https://en.wikipedia.org/wiki/Charles_Correa,9/1/30,6/16/15,Yes,8,1989,,,
56,Costa,Lúcio,,https://en.wikipedia.org/wiki/L%C3%BAcio_Costa,2/27/02,6/13/98,No,679,1954,,,
57,Cret,Paul Philippe,,https://en.wikipedia.org/wiki/Paul_Philippe_Cret,10/23/1876,9/8/45,No,45,1928,,,
58,Cumbernauld,,,,,,No,456,1965,,,
59,Czech Cubists,,,https://en.wikipedia.org/wiki/Czech_Cubism,1912-1914,,No,73,1911,,,
60,Darmstadt Mathildenhohe,,,https://whc.unesco.org/en/list/1614/,1899,,No,34,1907,,,
61,de Baudot,Anatole,,https://en.wikipedia.org/wiki/Anatole_de_Baudot,10/14/1834,2/28/15,No,3,1902,,,
62,De Carlo,Giancarlo,,https://en.wikipedia.org/wiki/Giancarlo_De_Carlo,12/12/19,6/4/05,Yes,3,1965,,,
63,de Finetti,Giuseppe,,https://it.wikipedia.org/wiki/Giuseppe_de_Finetti,3/5/1892,1/19/52,No,34567,1939,,,
64,de Klerk,Michel,,https://en.wikipedia.org/wiki/Michel_de_Klerk,11/24/1884,11/24/23,No,46,"1914, 1921",,,
65,Derrida,Jacques,,https://en.wikipedia.org/wiki/Jacques_Derrida,7/15/30,10/9/04,Yes,48,1988,,,
66,Dixon,Jeremy,,https://en.wikipedia.org/wiki/Jeremy_Dixon,5/31/39,,No,45,1998,,,
67,Dolce Vita,,,,,,No,56,1968,,,
68,Domenech,Lluis,https://viaf.org/viaf/49316848,https://en.wikipedia.org/wiki/Llu%C3%ADs_Dom%C3%A8nech_i_Montaner,12/21/1850,12/27/23,No,4,1898,,,
69,Domenig,Gunther,,https://en.wikipedia.org/wiki/G%C3%BCnther_Domenig,7/6/34,6/15/12,No,46,1990,,,
70,Dominioni,Luigi Caccia,,https://en.wikipedia.org/wiki/Luigi_Caccia_Dominioni,12/7/13,11/13/16,No,3,1959,,,
71,Doxiadis,Constantinos Apostolou,,https://en.wikipedia.org/wiki/Constantinos_Apostolou_Doxiadis,5/14/13,6/28/75,No,345,1962,,,
72,Dudok,Willem Marinus,,https://en.wikipedia.org/wiki/Willem_Marinus_Dudok,7/6/1884,4/6/74,No,3547,1922,,,
73,Duiker,Jan,,https://en.wikipedia.org/wiki/Jan_Duiker,3/1/1890,2/23/35,No,45,1929,,,
74,Eames,Charles and Ray,,https://en.wikipedia.org/wiki/Charles_and_Ray_Eames,,,No,,"1956, 1957",,,
75,Eiermann,Egon,,https://en.wikipedia.org/wiki/Egon_Eiermann,9/29/04,7/19/70,No,4,1961,,,
76,Eisenman,Peter,,https://en.wikipedia.org/wiki/Peter_Eisenman,8/11/32,,No,3,"1970, 1987",,,
77,El-Wakil,Abdel-Wahad,,https://en.wikipedia.org/wiki/Abdel-Wahed_El-Wakil,8/7/43,,No,56,1985,,,
78,Endell,August,http://viaf.org/viaf/61711138,https://en.wikipedia.org/wiki/August_Endell,4/12/1871,4/13/25,No,745,1899,,,
79,Erith,Raymond,,https://en.wikipedia.org/wiki/Raymond_Erith,8/7/04,11/30/73,No,,1948,,,
80,Erskine,Ralph,,https://en.wikipedia.org/wiki/Ralph_Erskine_(architect),2/24/14,3/16/05,No,4,"1956, 1971",,,
81,Evans,,,,,,No,,1999,,,
