Item No,Last Name,First Name,VIAF,Wikipedia Entry,Born,Died,Works in HTRC?,Biological,Pos.(s) in Chronogram,Getty A&A,Unnamed: 11,Item Type
227,Navarro,Agustin,,https://en.wikipedia.org/wiki/Agust%C3%ADn_Hern%C3%A1ndez_Navarro,2/29/24,11/10/22,No,,1997,,,
228,Nervi,Pier Luigi,,https://en.wikipedia.org/wiki/Pier_Luigi_Nervi,6/21/1891,1/9/79,No,,"1921, 1955",,,
229,Neumann,Alfred,,https://en.wikipedia.org/wiki/Alfred_Neumann_(architect),1/26/00,10/23/68,No,,1957,,,
230,Neutra,Richard,,https://en.wikipedia.org/wiki/Richard_Neutra,4/8/1892,4/16/70,Yes,,1951,,,
231,Niemeyer,Oscar,,https://en.wikipedia.org/wiki/Oscar_Niemeyer,12/15/07,12/5/12,No,,"1955, 1964",,,
232,Norberg-Schulz,Christian,,https://en.wikipedia.org/wiki/Christian_Norberg-Schulz,5/23/26,3/28/00,Yes,,1973,,,
233,Norton,,,,,,No,,2002,,,
234,Nouvel,Jean,,https://en.wikipedia.org/wiki/Jean_Nouvel,8/12/45,,Yes,,"1987, 1992",,,
235,Nowicki,Maciej,,https://en.wikipedia.org/wiki/Maciej_Nowicki_(architect),6/26/10,9/1/50,No,,1950,,,
236,Spuybroek,Lars,,https://en.wikipedia.org/wiki/Lars_Spuybroek,9/16/59,,No,,2003,,,
237,Olbrich,Joseph Maria,,https://en.wikipedia.org/wiki/Joseph_Maria_Olbrich,12/22/1867,9/8/08,No,,1901,,,
238,Osa,,,https://en.wikipedia.org/wiki/OSA_Group,1925,1930,No,,1926,,,
239,Ostberg,Ragnar,,https://en.wikipedia.org/wiki/Ragnar_%C3%96stberg,7/14/1866,2/5/45,No,,1919,,,
240,Oud,J.J.,,https://en.wikipedia.org/wiki/J._J._P._Oud,2/9/1890,4/5/63,No,,1922,,,
241,Outram,John,,https://en.wikipedia.org/wiki/John_Outram,6/21/34,,No,,1980,,,
242,Parker,Richard Barry,,https://en.wikipedia.org/wiki/Richard_Barry_Parker,11/18/1867,2/21/47,No,,1910,,,
243,Pattern Language,,,https://en.wikipedia.org/wiki/A_Pattern_Language,1977,,No,,1986,,,
244,Pawson,John,,https://en.wikipedia.org/wiki/John_Pawson,1949,,Yes,,1980,,,
245,Pei,I M,,https://en.wikipedia.org/wiki/I._M._Pei,4/26/17,5/16/19,No,,1979,,,
246,Peichl,Gustav,,https://en.wikipedia.org/wiki/Gustav_Peichl,3/18/28,11/17/19,No,,1977,,,
247,Pelli,Cesar,,https://en.wikipedia.org/wiki/C%C3%A9sar_Pelli,10/12/26,7/19/19,Yes,,"1989, 1997",,,
248,Perrault,Dominique,,https://en.wikipedia.org/wiki/Dominique_Perrault,4/9/53,,Yes,,1993,,,
249,Perrella,Stephen,,https://www.archpaper.com/2008/03/stephen-perrella-1956-2008/,,,No,,1999,,,
250,Perret,Auguste,,https://en.wikipedia.org/wiki/Auguste_Perret,2/12/1874,2/25/54,No,,1901,,,
251,PESSAC,,,,,,No,,1923,,,
252,Piacentini,Marcello,,https://en.wikipedia.org/wiki/Marcello_Piacentini,12/8/1881,5/19/60,No,,1942,,,
253,Piano,Renzo,,https://en.wikipedia.org/wiki/Renzo_Piano,9/14/37,,No,,"1962, 1992",,,
254,Pietilä,Reima,,https://en.wikipedia.org/wiki/Reima_and_Raili_Pietil%C3%A4,8/25/23,8/26/93,No,,1972,,,
255,Pite,Arthur Beresford,,https://en.wikipedia.org/wiki/Arthur_Beresford_Pite,9/2/1861,11/27/34,No,,1909,,,
256,Poelzig,Hans,,https://en.wikipedia.org/wiki/Hans_Poelzig,04/30/1869,6/14/36,No,,1914,,,
257,Poliakov,Léon,,https://en.wikipedia.org/wiki/L%C3%A9on_Poliakov,11/25/10,12/8/97,Yes,,1948,,,
258,Ponti,Gio,,https://en.wikipedia.org/wiki/Gio_Ponti,11/18/1891,9/16/79,Yes,,1949,,,
259,Porphyrios,Demetri,,https://en.wikipedia.org/wiki/Demetri_Porphyrios,1949,,No,,1998,,,
260,Predock,Antoine,,https://en.wikipedia.org/wiki/Antoine_Predock,6/24/36,3/2/24,Yes,,1992,,,
261,Price,Cedric,,https://en.wikipedia.org/wiki/Cedric_Price,9/11/34,8/10/03,Yes,,1961,,,
262,Prince,Bart,,https://en.wikipedia.org/wiki/Bart_Prince,6/24/47,,No,,1974,,,
263,Prior,Edward Schroeder,,https://en.wikipedia.org/wiki/Edward_Schroeder_Prior,1/4/1812,8/19/32,No,,1908,,,
264,PRix,Wolf Dieter,,https://en.wikipedia.org/wiki/Wolf_Dieter_Prix,12/13/42,,No,,1993,,,
265,Prouvé,Jean,,https://en.wikipedia.org/wiki/Jean_Prouv%C3%A9,4/18/01,3/23/84,No,,1960,,,
266,Radburn,,,https://en.wikipedia.org/wiki/Radburn_design_housing,,,No,,1930,,,
267,Rainer,Arnulf,,https://en.wikipedia.org/wiki/Arnulf_Rainer,12/8/29,,No,,1953,,,
268,Raymond,Antonin,,https://en.wikipedia.org/wiki/Antonin_Raymond,5/10/1888,10/25/76,Yes,,1934,,,
269,Reidy,Affonso Eduardo,,https://en.wikipedia.org/wiki/Affonso_Eduardo_Reidy,10/26/09,8/10/64,Yes,,1951,,,
270,Rewal,Raj,,https://en.wikipedia.org/wiki/Raj_Rewal,11/24/34,,Yes,,1994,,,
271,Bosco,Ricardo Velázquez,,https://en.wikipedia.org/wiki/Ricardo_Vel%C3%A1zquez_Bosco,3/21/1843,7/31/23,No,,1898,,,
272,Rickards,Edwin Alfred,,https://en.wikipedia.org/wiki/E._A._Rickards,6/?/1872,8/29/20,No,,1900,,,
273,Rietveld,Gerrit,,https://en.wikipedia.org/wiki/Gerrit_Rietveld,6/24/1888,6/25/64,No,,1926,,,
274,Rimpl,Herbert,,https://de.wikipedia.org/wiki/Herbert_Rimpl,1/25/02,6/2/78,No,,1935,,,
275,Ritchie,Ian,,https://en.wikipedia.org/wiki/Ian_Ritchie_(architect),6/24/47,,Yes,,1993,,,
276,Roche,Kevin,,https://en.wikipedia.org/wiki/Kevin_Roche,6/14/22,3/1/19,Yes,,"1968, 1976",,,
277,Rodchenko,Alexander,,https://en.wikipedia.org/wiki/Alexander_Rodchenko,12/05/1891,12/3/56,No,,1918,,,
278,Rogers,Richard,,https://en.wikipedia.org/wiki/Richard_Rogers,7/23/33,12/18/21,No,,"1971, 1993, 2001",,,
279,Ronchamp,,,https://en.wikipedia.org/wiki/Ronchamp,,,No,,1958,,,
280,Rossi,Aldo,,https://en.wikipedia.org/wiki/Aldo_Rossi,5/3/31,9/4/97,Yes,,"1976, 1985",,,
281,Rowe,Colin,,https://en.wikipedia.org/wiki/Colin_Rowe,3/27/20,11/5/99,Yes,,1980,,,
282,Rudolph,Paul,,https://en.wikipedia.org/wiki/Paul_Rudolph_(architect),10/23/18,8/8/97,Yes,,1953,,,
283,"S,M,L,XL",,,"https://en.wikipedia.org/wiki/S,M,L,XL",10/31/95,,No,,1991,,,
284,Saarinen,Eero,,https://en.wikipedia.org/wiki/Eero_Saarinen,8/20/10,9/1/61,Yes,,"1952, 1956",,,
285,Saarinen,Eliel,,https://en.wikipedia.org/wiki/Eliel_Saarinen,8/20/1873,7/1/50,No,,"1900, 1913",,,
286,Sagebiel,Ernst,,https://en.wikipedia.org/wiki/Ernst_Sagebiel,10/2/1892,3/5/70,No,,1941,,,
287,Sant-Elia,Antonio,,https://en.wikipedia.org/wiki/Antonio_Sant%27Elia,04/30/1888,10/10/16,No,,1914,,,
288,Sartoris,Alberto,,https://fr.wikipedia.org/wiki/Alberto_Sartoris,2/2/01,3/8/98,No,,1936,,,
289,Sauvage,Henri,,https://en.wikipedia.org/wiki/Henri_Sauvage,05/10/1873,3/21/32,No,,1908,,,
290,Scarpa,Carlo,,https://en.wikipedia.org/wiki/Carlo_Scarpa,6/2/06,11/28/78,Yes,,1974,,,
291,Scharoun,Hans,,https://en.wikipedia.org/wiki/Hans_Scharoun,9/20/1893,11/25/72,Yes,,1961,,,
292,Scheerbart,Paul,,https://en.wikipedia.org/wiki/Paul_Scheerbart,01/08/1863,10/15/15,No,,1917,,,
293,Schenzen,,,,,,No,,1990,,,
294,Schindler,Rudolph,,https://en.wikipedia.org/wiki/Rudolph_Schindler_(architect),09/10/1887,8/22/53,No,,1929,,,
295,Schoeffer,Nicolas,,https://en.wikipedia.org/wiki/Nicolas_Sch%C3%B6ffer,6-Sep-12,8-Jan-92,No,,1955,,,
296,Schultes,Axel ,,https://de.wikipedia.org/wiki/Axel_Schultes,11/17/43,,No,,1993,,,
297,Schultze-Naumburg,Paul,,https://en.wikipedia.org/wiki/Paul_Schultze-Naumburg,6/10/1869,5/19/49,No,,1930,,,
298,Scogin,Mack,,https://msmearch.com/category/date/1980-1989,,,No,,1980,,,
299,Scott,Baillie,,https://en.wikipedia.org/wiki/Baillie_Scott,10/23/1865,2/10/45,Yes,,1906,,,
300,Scully,Vincent,,https://en.wikipedia.org/wiki/Vincent_Scully,8/21/20,11/30/17,Yes,,1970,,,
301,Seifert,Richard,,https://en.wikipedia.org/wiki/Richard_Seifert,11/25/10,10/26/01,No,,1970,,,
302,Sejima,Kazuyo,,https://en.wikipedia.org/wiki/Kazuyo_Sejima,10/29/56,,Yes,,2000,,,
303,Shaw,George R. ,,https://en.wikipedia.org/wiki/George_R._Shaw,10/28/1848,1/15/37,Yes,,1905,,,
304,Shchusev,Alexey,,https://en.wikipedia.org/wiki/Alexey_Shchusev,10/8/1873,5/24/49,No,,1945,,,
305,Shinohara,Kazuo,,https://en.wikipedia.org/wiki/Kazuo_Shinohara,4/2/25,7/15/06,Yes,,1970,,,
306,Simpson,John,,https://en.wikipedia.org/wiki/John_Simpson_(architect),11/9/54,,Yes,,2000,,,
307,Simpson,John William,,https://en.wikipedia.org/wiki/John_William_Simpson,9/9/1858,3/30/33,No,,,,,
308,Siza Vieria,Alvaro,,https://en.wikipedia.org/wiki/%C3%81lvaro_Siza_Vieira,6/25/33,,No,,1990,,,
309,Soleri,Paolo,,https://en.wikipedia.org/wiki/Paolo_Soleri,6/21/19,4/9/13,Yes,,1955,,,
310,Sommaruga,Giuseppe,,https://en.wikipedia.org/wiki/Giuseppe_Sommaruga,1867,1917,No,,1900,,,
311,Soto,Jesús Rafael,,https://en.wikipedia.org/wiki/Jes%C3%BAs_Rafael_Soto,6/5/23,1/17/05,No,,1947,,,
312,Sottsass,Ettore,,https://en.wikipedia.org/wiki/Ettore_Sottsass,9/14/17,12/31/07,Yes,,1985,,,
313,Speer,Albert,,https://en.wikipedia.org/wiki/Albert_Speer,3/19/05,9/1/81,Yes,,1935,,,
314,Stam,Mart,,https://en.wikipedia.org/wiki/Mart_Stam,8/5/1899,2/21/86,No,,1935,,,
315,Steiner,Rudolf,,https://en.wikipedia.org/wiki/Rudolf_Steiner,02/25/1861,3/30/25,Yes,,1925,,,
316,Stern,Robert A. M. ,,https://en.wikipedia.org/wiki/Robert_A._M._Stern,5/23/39,,Yes,,"1970, 1985",,,
317,Stirling,James,,https://en.wikipedia.org/wiki/James_Stirling_(architect),4/22/26,6/25/92,Yes,,"1970, 1985",,,
318,Stone,Edward Durell,,https://en.wikipedia.org/wiki/Edward_Durell_Stone,3/9/02,8/6/78,No,,1963,,,
319,Sullivan,Louis,,https://en.wikipedia.org/wiki/Louis_Sullivan,9/3/1856,4/14/24,Yes,,1900,,,person
320,Takamatsu,Shin,,https://en.wikipedia.org/wiki/Shin_Takamatsu,8/5/48,,No,,1990,,,
321,Tange,Kenzo,,https://en.wikipedia.org/wiki/Kenz%C5%8D_Tange,9/4/13,3/22/05,Yes,,2000,,,
322,Tange,Kenzō,,https://en.wikipedia.org/wiki/Kenz%C5%8D_Tange,9/4/13,3/22/05,Yes,,"1960, 1970",,,
323,Tatlin,Vladimir,,https://en.wikipedia.org/wiki/Vladimir_Tatlin,12/28/1885,5/31/53,No,,1920,,,
324,Taut,Bruno,,https://en.wikipedia.org/wiki/Bruno_Taut,04/04/1880,12/24/38,Yes,,"1910, 1930",,,
325,Teague,Walter Dorwin,,https://en.wikipedia.org/wiki/Walter_Dorwin_Teague,12/18/1883,12/5/60,Yes,,1938,,,
326,Terragni,Giuseppe,,https://en.wikipedia.org/wiki/Giuseppe_Terragni,4/18/04,7/19/43,No,,1930,,,
327,Terry,Quinlan,,https://en.wikipedia.org/wiki/Quinlan_Terry,7/24/37,,Yes,,1980,,,
328,Tigerman,Stanley,,https://en.wikipedia.org/wiki/Stanley_Tigerman,9/20/30,6/3/19,No,,1990,,,
329,Torroja,Eduardo,,https://en.wikipedia.org/wiki/Eduardo_Torroja,8/27/1899,6/15/61,No,,1937,,,
330,Troost,Paul,,https://en.wikipedia.org/wiki/Paul_Troost,8/17/1878,1/21/34,No,,1937,,,
331,Tschumi,Bernard,,https://en.wikipedia.org/wiki/Bernard_Tschumi,1/25/44,,Yes,,1990,,,
332,Tufaroli,Mario,,-,-,-,No,,,,,
333,Ungers,Oswald,,https://en.wikipedia.org/wiki/Oswald_Mathias_Ungers,7/12/26,9/30/07,No,,1980,,,
334,Unwin,Raymond,,https://en.wikipedia.org/wiki/Raymond_Unwin,11/2/1863,6/29/40,No,,1914,,,
335,Utzon,Born,,https://en.wikipedia.org/wiki/J%C3%B8rn_Utzon,9-Apr-18,29-Nov-08,No,,1970,,,
336,Utzon,Jørn,,https://en.wikipedia.org/wiki/J%C3%B8rn_Utzon,4/9/18,11/29/08,No,,1958,,,
337,Valle,Gino,,https://it.wikipedia.org/wiki/Gino_Valle,12/7/23,9/30/03,No,,1965,,,
338,Van Alen,William,,https://en.wikipedia.org/wiki/William_Van_Alen,8/10/1883,5/24/54,No,,1930,,,
339,van de Velde,Henry,,https://en.wikipedia.org/wiki/Henry_van_de_Velde,4/3/1863,10/15/57,No,,1910,,,
340,van Doesburg,Theo,,https://en.wikipedia.org/wiki/Theo_van_Doesburg,8/30/1883,3/7/31,No,,1920,,,
341,van Eyck,Aldo,,https://en.wikipedia.org/wiki/Aldo_van_Eyck,3/16/18,1/14/99,No,,1965,,,
342,Vandenhove,Charles,,https://en.wikipedia.org/wiki/Charles_Vandenhove,7/3/27,1/22/19,No,,1990,,,
343,Venturi,Robert,,https://en.wikipedia.org/wiki/Robert_Venturi,6/25/25,9/18/18,Yes,,1970,,,
344,Vesnin,Viktor,,https://en.wikipedia.org/wiki/Viktor_Vesnin,04/09/1882,9/17/50,No,,1925,,,
345,Vinoly,Rafael,,https://en.wikipedia.org/wiki/Rafael_Vi%C3%B1oly,6/1/44,3/2/23,No,,2000,,,
346,von Gerkan,Meinhard,,https://en.wikipedia.org/wiki/Meinhard_von_Gerkan,1/3/35,11/30/22,Yes,,1990,,,
347,Voysey,C.F.A.,,https://en.wikipedia.org/wiki/C._F._A._Voysey,5/28/1857,2/12/41,Yes,,1905,,,
348,Wachsmann,Konrad,,https://en.wikipedia.org/wiki/Konrad_Wachsmann,5/16/01,11/25/80,No,,,,,
349,Wagner,Otto,,https://en.wikipedia.org/wiki/Otto_Wagner,7/13/1841,4/11/18,No,,1900,,,
350,Webb,Philip,,https://en.wikipedia.org/wiki/Philip_Webb,1/12/1831,4/17/15,No,,1915,,,
351,Wilford,Michael ,,https://en.wikipedia.org/wiki/Michael_Wilford,9/9/38,3/10/23,No,,1990,,,
352,Williams,William Carlos,,https://en.wikipedia.org/wiki/William_Carlos_Williams,9/17/1883,3/4/63,Yes,,1933,,,
353,Wood ,Cecil,,https://en.wikipedia.org/wiki/Cecil_Wood_(architect),6/6/1878,11/28/47,No,,1905,,,
354,Woods,Lebbeus,,https://en.wikipedia.org/wiki/Lebbeus_Woods,5/31/40,10/30/12,Yes,,1966,,,
355,Wright,Frank Lloyd,,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,6/8/1867,4/9/59,Yes,,"1905, 1932, 1950",,,
356,Yamasaki,Minoru,,https://en.wikipedia.org/wiki/Minoru_Yamasaki,12/1/12,2/6/86,No,,1966,,,
357,Yeang,Ken,,https://en.wikipedia.org/wiki/Ken_Yeang,10/6/48,,Yes,,"1995, 2000",,,
358,Zevi,Bruno,,https://en.wikipedia.org/wiki/Bruno_Zevi,1/22/18,1/9/00,Yes,,1956,,,
359,Zholtovsky,Ivan,,https://en.wikipedia.org/wiki/Ivan_Zholtovsky,11/27/1867,7/16/59,No,,1945,,,
360,Zumthor,Peter,,https://en.wikipedia.org/wiki/Peter_Zumthor,4/26/43,,Yes,,2002,,,
361,Lethaby,William,http://viaf.org/viaf/49308242,https://en.wikipedia.org/wiki/William_Lethaby,1/18/1857,7/17/31,No,,1899,,,person
362,ARTS & CRAFTS,,,https://en.wikipedia.org/wiki/Arts_and_Crafts_movement,,,,,,https://www.getty.edu/vow/AATFullDisplay?find=arts+crafts&logic=AND&note=&english=N&prev_page=1&subjectid=300266319,,movement
363,Ricardo,Halsey,,https://en.wikipedia.org/wiki/Halsey_Ricardo,8/6/1854,2/15/28,,,1898,,,person
364,Berlage,Hendrik Petrus,http://viaf.org/viaf/59236068,https://en.wikipedia.org/wiki/H._P._Berlage,2/21/1856,9/12/34,No,,1898,,,person
365,Mckim MW,,,,,,No,,1900,,,firm
366,Guimard,Hector,http://viaf.org/viaf/71400445,https://en.wikipedia.org/wiki/Hector_Guimard,3/10/1867,5/20/42,No,,1898,,,person
367,Domenech,Lluis,https://viaf.org/viaf/49316848,https://en.wikipedia.org/wiki/Llu%C3%ADs_Dom%C3%A8nech_i_Montaner,12/21/1850,12/27/23,No,,1898,,,person
368,Endell,August,http://viaf.org/viaf/61711138,https://en.wikipedia.org/wiki/August_Endell,4/12/1871,4/13/25,No,,1899,,,person
369,Kotera,Jan,http://viaf.org/viaf/69848397,https://en.wikipedia.org/wiki/Jan_Kot%C4%9Bra,12/18/1871,4/17/23,No,,1899,,,person
370,Maillart,Robert,http://viaf.org/viaf/35251528,https://en.wikipedia.org/wiki/Robert_Maillart,2/16/1872,4/5/40,No,,1900,,,person
371,Loos,Adolf,http://viaf.org/viaf/17225994,https://en.wikipedia.org/wiki/Adolf_Loos,12/10/1870,8/23/33,No,,1903,,,person
372,ornament & crime,,,https://en.wikipedia.org/wiki/Ornament_and_Crime,,,,,1905,,,written work
373,WERKBUND,,,https://en.wikipedia.org/wiki/Deutscher_Werkbund,,,,,1906,,,movement
374,de Baudot,Anatole,http://viaf.org/viaf/17356208,https://en.wikipedia.org/wiki/Anatole_de_Baudot,10/14/1834,2/28/15,No,,1902,,,person
375,Bosco,Ricardo Velázquez,http://viaf.org/viaf/52750908,https://en.wikipedia.org/wiki/Ricardo_Vel%C3%A1zquez_Bosco,3/21/1843,7/31/23,No,,1898,,,
376,Lanchester,Henry Vaughan,http://viaf.org/viaf/56459619,https://en.wikipedia.org/wiki/H._V._Lanchester,8/9/1863,1/16/53,No,,1900,,,
377,Lechner,Odon,http://viaf.org/viaf/35263153,"https://en.wikipedia.org/wiki/%C3%96d%C3%B6n_Lechner#:~:text=In%20the%20early%201900s%2C%20he,his%20search%20for%20larger%20commissions.",8/27/1845,6/10/14,No,,1900,,,
378,Rickards,Edwin Alfred,http://viaf.org/viaf/11294337,https://en.wikipedia.org/wiki/E._A._Rickards,6/?/1872,8/29/20,No,,1900,,,
379,Sommaruga,Giuseppe,http://viaf.org/viaf/20893846,https://en.wikipedia.org/wiki/Giuseppe_Sommaruga,1867,1917,No,,1900,,,
380,Olbrich,Joseph Maria,http://viaf.org/viaf/39646235,https://en.wikipedia.org/wiki/Joseph_Maria_Olbrich,12/22/1867,9/8/08,No,,1901,,,
381,Perret,Auguste,http://viaf.org/viaf/32045176,https://en.wikipedia.org/wiki/Auguste_Perret,2/12/1874,2/25/54,No,,1901,,,
382,Wagner,Otto,http://viaf.org/viaf/39439361,https://en.wikipedia.org/wiki/Otto_Wagner,7/13/1841,4/11/18,No,,1901,,,
383,Burnet,John James,http://viaf.org/viaf/13370629,https://en.wikipedia.org/wiki/John_James_Burnet,5/31/1857,7/2/38,No,,1902,,,
384,Gaudi,Antoni,http://viaf.org/viaf/9855586,https://en.wikipedia.org/wiki/Antoni_Gaud%C3%AD,6/25/1852,6/10/26,No,,1902,,,
385,Horta,Victor,http://viaf.org/viaf/41863991,https://en.wikipedia.org/wiki/Victor_Horta,1/6/1861,9/8/47,No,,1902,,,
386,Gocar,Josef,http://viaf.org/viaf/13212528,https://en.wikipedia.org/wiki/Josef_Go%C4%8D%C3%A1r,3/13/1880,9/10/45,No,,1903,,,
387,Howard,Ebenezer,http://viaf.org/viaf/69028545,https://en.wikipedia.org/wiki/Ebenezer_Howard,1/29/1850,5/1/28,No,,1903,,,
388,Letchworth,,http://viaf.org/viaf/141900024,https://en.wikipedia.org/wiki/Letchworth,,,No,,1903,,,
389,Hoffman,Josef,http://viaf.org/viaf/66567152,https://en.wikipedia.org/wiki/Josef_Hoffmann,12/15/1870,5/7/56,No,,1904,,,
390,Welwyn,,,https://en.wikipedia.org/wiki/Welwyn,,,No,,1904,,,
391,Jourdain,Frantz,http://viaf.org/viaf/64130335,https://en.wikipedia.org/wiki/Frantz_Jourdain,10/3/1847,8/22/35,No,,1905,,,
392,Behrens,Peter,http://viaf.org/viaf/74643773,https://en.wikipedia.org/wiki/Peter_Behrens,4/14/1868,2/27/40,No,,1907,,,
393,Darmstadt Mathildenhohe,,http://viaf.org/viaf/205929307,https://whc.unesco.org/en/list/1614/,1899,,No,,1907,,,
394,Voysey,C.F.A.,,https://en.wikipedia.org/wiki/C._F._A._Voysey,5/28/1857,2/12/41,Yes,,1907,,,
395,Ashbee,Charles Robert,http://viaf.org/viaf/76389729,https://en.wikipedia.org/wiki/Charles_Robert_Ashbee,5/17/1863,5/23/42,No,,1908,,,person
396,Prior,Edward Schroeder,http://viaf.org/viaf/878688,https://en.wikipedia.org/wiki/Edward_Schroeder_Prior,1/4/1852,8/19/32,No,,1908,,,
397,Sauvage,Henri,http://viaf.org/viaf/62348319,https://en.wikipedia.org/wiki/Henri_Sauvage,05/10/1873,3/21/32,No,,1908,,,
398,van de Velde,Henry,http://viaf.org/viaf/68944453,https://en.wikipedia.org/wiki/Henry_van_de_Velde,4/3/1863,10/15/57,No,,1908,,,
399,Wood ,Cecil,http://viaf.org/viaf/96298784,https://en.wikipedia.org/wiki/Cecil_Wood_(architect),6/6/1878,11/28/47,No,,1908,,,
400,Fischer,Alfred,https://viaf.org/en/viaf/102403710,https://en.wikipedia.org/wiki/Alfred_Fischer_(architect),8/29/1881,4/10/50,No,,1909,,,
401,Moser,Karl,http://viaf.org/viaf/3263091,https://en.wikipedia.org/wiki/Karl_Moser,8/10/1860,2/28/36,No,,1909,,,
402,Pite,Arthur Beresford,http://viaf.org/viaf/24493730,https://en.wikipedia.org/wiki/Arthur_Beresford_Pite,9/2/1861,11/27/34,No,,1909,,,
403,Bonatz,Paul,http://viaf.org/viaf/72185130,https://en.wikipedia.org/wiki/Paul_Bonatz,12/6/1877,12/20/56,No,,1910,,,
404,Brydon,J.M.,http://viaf.org/viaf/96593857,https://en.wikipedia.org/wiki/J._M._Brydon,1840,5/25/01,No,,1910,,,
405,Jensen-Klint,Peder Vilhelm,http://viaf.org/viaf/13478240,https://en.wikipedia.org/wiki/Peder_Vilhelm_Jensen-Klint,06/21/1853,12/1/30,No,,1910,,,
406,Mewes,Charles,http://viaf.org/viaf/95721546,https://en.wikipedia.org/wiki/Charles_Mew%C3%A8s,1/30/1858,8/9/14,No,,1910,,,
407,Parker,Richard Barry,http://viaf.org/viaf/35379988,https://en.wikipedia.org/wiki/Richard_Barry_Parker,11/18/1867,2/21/47,No,,1910,,,
408,Tessenow,Heinrich,http://viaf.org/viaf/64800354,https://en.wikipedia.org/wiki/Heinrich_Tessenow,4/7/1876,11/1/50,No,,1912,,,
409,Asplund,Gunnar,http://viaf.org/viaf/47560120,https://en.wikipedia.org/wiki/Gunnar_Asplund,9/22/1885,10/20/40,No,,1913,,,
410,Poelzig,Hans,http://viaf.org/viaf/85540,https://en.wikipedia.org/wiki/Hans_Poelzig,04/30/1869,6/14/36,No,,1914,,,
411,Sant-Elia,Antonio,http://viaf.org/viaf/64808203,https://en.wikipedia.org/wiki/Antonio_Sant%27Elia,04/30/1888,10/10/16,No,,1914,,,
412,Unwin,Raymond,http://viaf.org/viaf/69044093,https://en.wikipedia.org/wiki/Raymond_Unwin,11/2/1863,6/29/40,No,,1914,,,
413,Chiattone,Mario,http://viaf.org/viaf/77404291,https://www.encyclopedia.com/education/dictionaries-thesauruses-pictures-and-press-releases/chiattone-mario,1891,1957,No,,1915,,,
414,Holden,Charles,http://viaf.org/viaf/62770217,https://en.wikipedia.org/wiki/Charles_Holden,5/12/1875,5/1/60,No,,1916,,,
415,Webb,Philip,http://viaf.org/viaf/15634787,https://en.wikipedia.org/wiki/Philip_Webb,1/12/1831,4/17/15,No,,1916,,,
416,Kramer,Piet,http://viaf.org/viaf/74659080,https://en.wikipedia.org/wiki/Piet_Kramer,7/1/1881,2/4/61,No,,1917,,,
417,Scheerbart,Paul,http://viaf.org/viaf/44474928,https://en.wikipedia.org/wiki/Paul_Scheerbart,01/08/1863,10/15/15,No,,1917,,,
418,Berg,Max,http://viaf.org/viaf/67209074,https://en.wikipedia.org/wiki/Max_Berg,4/17/1870,1/22/47,No,,1918,,,
419,Rodchenko,Alexander,http://viaf.org/viaf/56633412,https://en.wikipedia.org/wiki/Alexander_Rodchenko,12/05/1891,12/3/56,No,,1918,,,
420,Gill,Irving`,http://viaf.org/viaf/72271842,https://en.wikipedia.org/wiki/Irving_Gill,4/26/1870,10/7/36,No,,1919,,,
421,Lissitzky,El ,http://viaf.org/viaf/41890867,https://en.wikipedia.org/wiki/El_Lissitzky,11/24/1890,12/30/41,No,,1919,,,
422,Ostberg,Ragnar,http://viaf.org/viaf/54274637,https://en.wikipedia.org/wiki/Ragnar_%C3%96stberg,7/14/1866,2/5/45,No,,1919,,,
423,Tatlin,Vladimir,http://viaf.org/viaf/34497985,https://en.wikipedia.org/wiki/Vladimir_Tatlin,12/28/1885,5/31/53,No,,1919,,,
424,Dudok,Willem Marinus,http://viaf.org/viaf/109410238,https://en.wikipedia.org/wiki/Willem_Marinus_Dudok,7/6/1884,4/6/74,No,,1922,,,
425,Haring,Hugo,https://viaf.org/en/viaf/71465805,https://en.wikipedia.org/wiki/Hugo_H%C3%A4ring,05/11/1882,5/17/58,No,,1922,,,
426,Oud,J.J.,http://viaf.org/viaf/59169249,https://en.wikipedia.org/wiki/J._J._P._Oud,2/9/1890,4/5/63,No,,1922,,,
427,Leonidov,Ivan,http://viaf.org/viaf/67264236,https://en.wikipedia.org/wiki/Ivan_Leonidov,2/9/02,11/6/59,No,,1923,,,
428,Mendelsohn,Erich,http://viaf.org/viaf/2612145857099822922047,https://en.wikipedia.org/wiki/Erich_Mendelsohn,03/21/1887,9/15/53,No,,1923,,,
429,Vesnin,Viktor,http://viaf.org/viaf/23605640,https://en.wikipedia.org/wiki/Viktor_Vesnin,04/09/1882,9/17/50,No,,1923,,,
430,Finsterlin,Hermann,http://viaf.org/viaf/24726854,https://en.wikipedia.org/wiki/Hermann_Finsterlin,08/18/1887,9/16/73,No,,1924,,,
431,Le Ricolais,Robert,http://viaf.org/viaf/255267,https://en.wikipedia.org/wiki/Robert_Le_Ricolais,10/30/1894,6/4/77,No,,1924,,,
432,May,Ernst,http://viaf.org/viaf/37711461,https://en.wikipedia.org/wiki/Ernst_May,7/27/1886,9/11/70,No,,1924,,,
433,Steiner,Rudolf,,https://en.wikipedia.org/wiki/Rudolf_Steiner,02/25/1861,3/30/25,Yes,,1924,,,
434,Bartning,Otto,,https://en.wikipedia.org/wiki/Otto_Bartning,04/12/1883,2/20/59,Yes,,1925,,,
