item-no,pos-in-chrono,poss-names,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms,author,top-bio-keywords,top-bio-systems,n-bio-comparisons,top-built-keywords
568,1967.0,,Student-Activist,Student-Activist,,,,,,,,,,,,,,,
567,1968.0,,situationists,situationists,,,,,,,,,,,,,,,
566,1967.0,,UTOPIE,UTOPIE,,,,,,,,,,,,,,,
565,1962.0,,squatters,squatters,,,,,,,,,,,,,,,
564,1962.0,,METABOLISM,METABOLISM,,,,,,,,,,,,,,,
563,1966.0,,ARCHIGRAM,ARCHIGRAM,,,,,,,,,,,,,,,
562,1958.0,,Fantastic,Fantastic,,,,,,,,,,,,,,,
561,1961.0,,POP,POP,,,,,,,,,,,,,,,
560,1964.0,,plug in,plug in,,,,,,,,,,,,,,,
559,1964.0,,blow-up,blow-up,,,,,,,,,,,,,,,
558,1966.0,,NEO-EXPRESSIONISM,NEO-EXPRESSIONISM,,,,,,,,,,,,,,,
557,1960.0,,Neo-Liberty,Neo-Liberty,,,,,,,,,,,,,,,
556,1932.0,,streamline,streamline,,,,,,,,,,,,,,,
555,1920.0,,UTOPIAN,UTOPIAN,,,,,,,,,,,,,,,
554,1913.0,,FUTURISM,FUTURISM,,,,,,,,,,,,,,,
553,1922.0,,ART DECO,ART DECO,,,,,,,,,,,,,,,
552,1922.0,,classical,classical,,,,,,,,,,,,,,,
551,1923.0,,skyscraper moderne,skyscraper moderne,,,,,,,,,,,,,,,
550,1923.0,,BEAUX ARTS,BEAUX ARTS,,,,,,,,,,,,,,,
549,1902.0,,MONUMENTAL CLASSICISM,MONUMENTAL CLASSICISM,,,,,,,,,,,,,,,
548,1918.0,,New Delhi,New Delhi,,,,,,,,,,,,,,,
547,1969.0,,LINCOLN CENTRE,LINCOLN CENTRE,,,,,,,,,,,,,,,
546,1974.0,,YRM,YRM,,,,,,,,,,,,,,,
545,1977.0,,HOK,HOK,,,,,,,,,,,,,,,
544,1953.0,,Historicism,Historicism,,,,,,,,,,,,,,,
543,1948.0,,LCC,LCC,,,,,,,,,,,,,,,
542,1952.0,,INTERNATIONAL STYLE,INTERNATIONAL STYLE,,,,,,,,,,,,,,,
541,1958.0,,LCC,LCC,,,,,,,,,,,,,,,
540,1977.0,,Rationalism,Rationalism,,,,,,,,,,,,,,,
539,1980.0,,The City,The City,,,,,,,,,,,,,,,
538,1979.0,,Seaside,Seaside,,,,,,,,,,,,,,,
537,1993.0,,NEW URBANISM,NEW URBANISM,,,,,,,,,,,,,,,
536,1986.0,,CLASSICAL REVIVALISM,CLASSICAL REVIVALISM,,,,,,,,,,,,,,,
535,1984.0,,MODERN CLASSICISM,MODERN CLASSICISM,,,,,,,,,,,,,,,
534,1986.0,,Post-Modern Classicism,Post-Modern Classicism,,,,,,,,,,,,,,,
533,1990.0,,Critical Regionalism,Critical Regionalism,,,,,,,,,,,,,,,
532,1985.0,,POST MODERN,POST MODERN,,,,,,,,,,,,,,,
531,1992.0,,Holocaust-museums,Holocaust-museums,,,,,,,,,,,,,,,
530,2003.0,,KPF,KPF,,,,,,,,,,,,,,,
529,2001.0,,ecological design,ecological design,,,,,,,,,,,,,,,
528,1998.0,,MINIMALISM,MINIMALISM,,,,,,,,,,,,,,,
527,1996.0,,Eco-Tech,Eco-Tech,,,,,,,,,,,,,,,
526,1998.0,,Future Systems,Future Systems,,,,,,,,,,,,,,,
525,2000.0,,super modernism,super modernism,,,,,,,,,,,,,,,
524,1987.0,,Organic-tech,Organic-tech,,,,,,,,,,,,,,,
523,1988.0,,interactive,interactive,,,,,,,,,,,,,,,
522,1986.0,,NEW MODERNISM,NEW MODERNISM,,,,,,,,,,,,,,,
521,1990.0,,Lightweight,Lightweight,,,,,,,,,,,,,,,
520,1981.0,,neutrality,neutrality,,,,,,,,,,,,,,,
519,1977.0,,Pompidou,Pompidou,,,,,,,,,,,,,,,
518,1963.0,,Parametric,Parametric,,,,,,,,,,,,,,,
517,1962.0,,Centre,Centre,,,,,,,,,,,,,,,
516,1952.0,,hyperbolic-paraboloids,hyperbolic-paraboloids,,,,,,,,,,,,,,,
515,1951.0,,geodesic Candela,geodesic Candela,,,,,,,,,,,,,,,
514,1950.0,,space frame,space frame,,,,,,,,,,,,,,,
513,1939.0,,emigration,emigration,,,,,,,,,,,,,,,
512,1928.0,,SOCIAL-IDEALIST,SOCIAL-IDEALIST,,,,,,,,,,,,,,,
511,1923.0,,BAUHAUS,BAUHAUS,,,,,,,,,,,,,,,
510,1930.0,,HEROIC PERIOD,HEROIC PERIOD,,,,,,,,,,,,,,,
509,1940.0,,large structure,large structure,,,,,,,,,,,,,,,
508,1935.0,,CIAM,CIAM,,,,,,,,,,,,,,,
507,1932.0,,Dymaxian,Dymaxian,,,,,,,,,,,,,,,
506,1932.0,,INDUSTRIAL DESIGN,INDUSTRIAL DESIGN,,,,,,,,,,,,,,,
505,1925.0,,FUNCTIONALISM,FUNCTIONALISM,,,,,,,,,,,,,,,
504,1924.0,,Productivism,Productivism,,,,,,,,,,,,,,,
503,1917.0,,engineering,engineering,,,,,,,,,,,,,,,
502,1907.0,,RATIONALISM,RATIONALISM,,,,,,,,,,,,,,,
