Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Established",Died,Works in HTRC?,Pos.(s) in Chronogram,,
Darmstadt Mathildenhohe,,,https://whc.unesco.org/en/list/1614/,1899,,No,1907,,
de Baudot,Anatole,,https://en.wikipedia.org/wiki/Anatole_de_Baudot,10/14/1834,2/28/1915,No,1902,,
De Carlo,Giancarlo,,https://en.wikipedia.org/wiki/Giancarlo_De_Carlo,12/12/1919,6/4/2005,Yes,1965,,
de Finetti,Giuseppe,,https://it.wikipedia.org/wiki/Giuseppe_de_Finetti,3/5/1892,1/19/1952,No,1939,,
de Klerk,Michel,,https://en.wikipedia.org/wiki/Michel_de_Klerk,11/24/1884,11/24/1923,No,"1914, 1921",,
Derrida,Jacques,,https://en.wikipedia.org/wiki/Jacques_Derrida,7/15/1930,10/9/2004,Yes,1988,,
Dixon,Jeremy,,https://en.wikipedia.org/wiki/Jeremy_Dixon,5/31/1939,,No,1998,,
Dolce Vita,,,,,,No,1968,,
Domenech,Lluis,,https://en.wikipedia.org/wiki/Llu%C3%ADs_Dom%C3%A8nech_i_Montaner,12/21/1850,12/27/1923,No,1898,,
Domenig,Gunther,,https://en.wikipedia.org/wiki/G%C3%BCnther_Domenig,7/6/1934,6/15/2012,No,1990,,
Dominioni,Luigi Caccia,,https://en.wikipedia.org/wiki/Luigi_Caccia_Dominioni,12/7/1913,11/13/2016,No,1959,,
Doxiadis,Constantinos Apostolou,,https://en.wikipedia.org/wiki/Constantinos_Apostolou_Doxiadis,5/14/1913,6/28/1975,No,1962,,
Dudok,Willem Marinus,,https://en.wikipedia.org/wiki/Willem_Marinus_Dudok,7/6/1884,4/6/1974,No,1922,,
Duiker,Jan,,https://en.wikipedia.org/wiki/Jan_Duiker,3/1/1890,2/23/1935,No,1929,,
Eames,Charles and Ray,,https://en.wikipedia.org/wiki/Charles_and_Ray_Eames,,,No,"1956, 1957",,
Eiermann,Egon,,https://en.wikipedia.org/wiki/Egon_Eiermann,9/29/1904,7/19/1970,No,1961,,
Eisenmann,Peter,,https://en.wikipedia.org/wiki/Peter_Eisenman,8/11/1932,,No,"1970, 1987",,
El-Wakil,Abdel-Wahad,,https://en.wikipedia.org/wiki/Abdel-Wahed_El-Wakil,8/7/1943,,No,1985,,
Endell,August,,https://en.wikipedia.org/wiki/August_Endell,4/12/1871,4/13/1925,No,1899,,
Erith,Raymond,,https://en.wikipedia.org/wiki/Raymond_Erith,8/7/1904,11/30/1973,No,1948,,
Erskine,Ralph,,https://en.wikipedia.org/wiki/Ralph_Erskine_(architect),2/24/1914,3/16/2005,No,"1956, 1971",,
Evans,,,,,,No,1999,,
Farrell,Terry,,https://en.wikipedia.org/wiki/Terry_Farrell_(architect),5/12/1938,,Yes,1990,,
Fathy,Hassan,,https://en.wikipedia.org/wiki/Hassan_Fathy,3/23/1900,11/30/1989,Yes,1979,,
Ferris,Hugh,,https://en.wikipedia.org/wiki/Hugh_Ferriss,7/12/1889,1/28/1962,No,1926,,
Finsterlin,Hermann,,https://en.wikipedia.org/wiki/Hermann_Finsterlin,08/18/1887,09/16/1973,No,1924,,
Fischer,Alfred,,https://en.wikipedia.org/wiki/Alfred_Fischer_(architect),8/29/1881,4/10/1950,No,1909,,
