item-no,pos-in-chrono,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms
31,1938,Wachsmann,Wachsmann,Konrad,person,http://viaf.org/viaf/94333531,https://en.wikipedia.org/wiki/Konrad_Wachsmann,,5/16/1901,11/25/1980,0,0,term1 term2 term3 term4 term5
32,1939,Stadia,Stadia,,,,,,,,0,0,term1 term2 term3 term4 term5
33,1950,Norwicki,Nowicki,Maciej,person,http://viaf.org/viaf/28397801,https://en.wikipedia.org/wiki/Maciej_Nowicki_(architect),,6/26/1910,9/1/1950,0,0,term1 term2 term3 term4 term5
34,1953,Morandi,Morandi,Giorgio,person,http://viaf.org/viaf/7399099,https://en.wikipedia.org/wiki/Giorgio_Morandi,,7/20/1890,6/18/1964,0,0,term1 term2 term3 term4 term5
35,1956,Schultze-Fielitze,Schultze-Fielitze,Eckhard,person,http://viaf.org/viaf/52753170,https://de.wikipedia.org/wiki/Eckhard_Schulze-Fielitz,,12/24/1929,9/1/2021,0,0,term1 term2 term3 term4 term5
36,1955,Nervi,Nervi,Pier Luigi,person,http://viaf.org/viaf/71453417,https://en.wikipedia.org/wiki/Pier_Luigi_Nervi,,6/21/1891,1/9/1979,0,0,term1 term2 term3 term4 term5
37,1956,EAMES,Eames,Charles and Ray,person,"http://viaf.org/viaf/15576677
http://viaf.org/viaf/62354916",https://en.wikipedia.org/wiki/Charles_and_Ray_Eames,,,,0,0,term1 term2 term3 term4 term5
38,1952,,Saarinen,Eero,person,http://viaf.org/viaf/41868977,https://en.wikipedia.org/wiki/Eero_Saarinen,,8/20/1910,9/1/1961,9999,,term1 term2 term3 term4 term5
39,1957,Neumann,Neumann,Alfred,person,http://viaf.org/viaf/316391418,https://en.wikipedia.org/wiki/Alfred_Neumann_(architect),,1/26/1900,10/23/1968,0,0,term1 term2 term3 term4 term5
40,1958,E.Otto,Otto,E.,person,,,,,,,7,term1 term2 term3 term4 term5
41,1960,PROUVE,Prouvé,Jean,person,http://viaf.org/viaf/2475783,https://en.wikipedia.org/wiki/Jean_Prouv%C3%A9,,4/18/1901,3/23/1984,0,0,term1 term2 term3 term4 term5
42,1960,Friedman,Friedman,Yona,person,http://viaf.org/viaf/49225738,https://en.wikipedia.org/wiki/Yona_Friedman,,6/5/1923,2/20/2020,0,0,term1 term2 term3 term4 term5
43,1960,Arups,Arups,,firm,http://viaf.org/viaf/119774526,https://en.wikipedia.org/wiki/Arup_Group,,1946,,0,0,term1 term2 term3 term4 term5
44,1962,Piano,Piano,Renzo,person,http://viaf.org/viaf/95804495,https://en.wikipedia.org/wiki/Renzo_Piano,,9/14/1937,,0,0,term1 term2 term3 term4 term5
45,1962,Koenig,Koenig,Pierre,person,http://viaf.org/viaf/109094818,https://en.wikipedia.org/wiki/Pierre_Koenig,,10/17/1925,4/4/2004,0,0,term1 term2 term3 term4 term5
46,1963,Maldonado,Maldonado,Tomás,person,http://viaf.org/viaf/44425548,https://en.wikipedia.org/wiki/Tom%C3%A1s_Maldonado,,4/25/1922,11/26/2018,9999,565634,term1 term2 term3 term4 term5
47,1965,Woods,Woods,Lebbeus,person,http://viaf.org/viaf/112843370,https://en.wikipedia.org/wiki/Lebbeus_Woods,,5/31/1940,10/30/2012,9999,45,term1 term2 term3 term4 term5
48,1971,EISENMAN,Eisenman,Peter,person,http://viaf.org/viaf/54297401,https://en.wikipedia.org/wiki/Peter_Eisenman,,8/11/1932,,0,0,term1 term2 term3 term4 term5
49,1971,Hejduk,Hejduk,John,person,http://viaf.org/viaf/108623765,https://en.wikipedia.org/wiki/John_Hejduk,,7/19/1929,7/3/2000,9999,34,term1 term2 term3 term4 term5
50,1971,FOSTER,Foster,Norman,person,http://viaf.org/viaf/76453877,"https://en.wikipedia.org/wiki/Norman_Foster,_Baron_Foster_of_Thames_Bank",,6/1/1935,,9999,5,term1 term2 term3 term4 term5
51,1971,ROGERS,Rogers,Richard,person,http://viaf.org/viaf/90597250,https://en.wikipedia.org/wiki/Richard_Rogers,,7/23/1933,12/18/2021,0,0,term1 term2 term3 term4 term5
52,1972,McHale,McHale,John,person,http://viaf.org/viaf/22293115,https://en.wikipedia.org/wiki/John_McHale_(artist),,8/19/1922,11/2/1978,9999,345,term1 term2 term3 term4 term5
53,1973,Meier,Meier,Richard,person,http://viaf.org/viaf/98048351,https://en.wikipedia.org/wiki/Richard_Meier,,10/12/1934,,9999,3,term1 term2 term3 term4 term5
54,1975,Gwathmy,Gwathmey,Charles,person,http://viaf.org/viaf/111000464,https://en.wikipedia.org/wiki/Charles_Gwathmey,,6/19/1938,8/3/2009,9999,3,term1 term2 term3 term4 term5
55,1976,Shinohara,Shinohara,Kazuo,person,http://viaf.org/viaf/95707447,https://en.wikipedia.org/wiki/Kazuo_Shinohara,,4/2/1925,7/15/2006,9999,8,term1 term2 term3 term4 term5
56,1975,Arups,Arups,,firm,http://viaf.org/viaf/119774526,https://en.wikipedia.org/wiki/Arup_Group,,1946,,0,0,term1 term2 term3 term4 term5
57,1977,Kurokawa,Kurokawa,Kisho,person,http://viaf.org/viaf/34524329,https://en.wikipedia.org/wiki/Kisho_Kurokawa,,4/8/1934,10/12/2007,9999,45,term1 term2 term3 term4 term5
58,1977,Peichl,Peichl,Gustav,person,http://viaf.org/viaf/64799820,https://en.wikipedia.org/wiki/Gustav_Peichl,,3/18/1928,11/17/2019,0,0,term1 term2 term3 term4 term5
59,1977,Grimshaw,Grimshaw,Nicholas,person,http://viaf.org/viaf/79406851,https://en.wikipedia.org/wiki/Nicholas_Grimshaw,,10/9/1939,,9999,73,term1 term2 term3 term4 term5
60,1978,Banham,Banham,Reyner,person,http://viaf.org/viaf/108384896,https://en.wikipedia.org/wiki/Reyner_Banham,,3/2/1922,3/19/1988,9999,34,term1 term2 term3 term4 term5
61,1979,Leo,Leo,,,,,,,,,3,term1 term2 term3 term4 term5
62,1979,Hopkins,Hopkins,Michael ,person,http://viaf.org/viaf/101582971,https://en.wikipedia.org/wiki/Michael_Hopkins_(architect),,5/7/1935,6/17/2023,0,0,term1 term2 term3 term4 term5
63,1980,Hasegawa,Hasegawa,Itsuko,person,http://viaf.org/viaf/62274276,https://en.wikipedia.org/wiki/Itsuko_Hasegawa,,1941,,9999,34567,term1 term2 term3 term4 term5
64,1980,Calatrava,Calatrava,Santiago,person,http://viaf.org/viaf/37713693,https://en.wikipedia.org/wiki/Santiago_Calatrava,,7/28/1951,,9999,46,term1 term2 term3 term4 term5
65,1982,Behnisch,Behnisch,Gunter,person,http://viaf.org/viaf/820613,https://en.wikipedia.org/wiki/G%C3%BCnter_Behnisch,,6/12/1922,7/12/2010,0,0,term1 term2 term3 term4 term5
66,1980,PAWSON,Pawson,John,person,http://viaf.org/viaf/59307110,https://en.wikipedia.org/wiki/John_Pawson,,1949,,9999,45,term1 term2 term3 term4 term5
67,1984,ANDO,Ando,Tadao,person,http://viaf.org/viaf/109158630,https://en.wikipedia.org/wiki/Tadao_Ando,,9/13/1941,,9999,56,term1 term2 term3 term4 term5
68,1986,Maya Lin,Lin,Maya,person,http://viaf.org/viaf/49460689,https://en.wikipedia.org/wiki/Maya_Lin,,10/5/1959,,9999,4,term1 term2 term3 term4 term5
69,1987,Nouvel,Nouvel,Jean,person,http://viaf.org/viaf/95789815,https://en.wikipedia.org/wiki/Jean_Nouvel,,8/12/1945,,9999,46,term1 term2 term3 term4 term5
70,1988,Legoretta,Legoretta,Ricardo,person,http://viaf.org/viaf/670785,https://en.wikipedia.org/wiki/Ricardo_Legorreta,,5/7/1931,12/30/2011,0,0,term1 term2 term3 term4 term5
71,1990,MAKI,Maki,Fumihiko,person,http://viaf.org/viaf/95869911,https://en.wikipedia.org/wiki/Fumihiko_Maki,,9/6/1928,6/6/2024,9999,345,term1 term2 term3 term4 term5
72,1991,Siza,Siza Vieria,Alvaro,person,http://viaf.org/viaf/5027394,https://en.wikipedia.org/wiki/%C3%81lvaro_Siza_Vieira,,6/25/1933,,0,0,term1 term2 term3 term4 term5
73,1992,Piano,Piano,Renzo,person,http://viaf.org/viaf/95804495,https://en.wikipedia.org/wiki/Renzo_Piano,,9/14/1937,,0,0,term1 term2 term3 term4 term5
